country,country_code,tourism_receipts,tourism_arrivals,tourism_exports,tourism_departures,tourism_expenditures,gdp,inflation,unemployment
Suriname,SUR,65136364.0,179375.0,4.0,,4.0,3150238027.0,26.29,8.33
Sweden,SWE,8023250000.0,6181636.0,5.0,16800500.0,8.0,471059551496.0,1.84,7.1
Switzerland,CHE,15727090909.0,8724800.0,5.0,19786846.0,5.0,585118490639.0,0.62,4.16
Syrian Arab Republic,SYR,2773444444.0,4780412.0,20.0,4290250.0,7.0,28620883128.0,12.42,9.5
Tajikistan,TJK,109794738.0,270100.0,11.0,16220.0,1.0,5718175268.0,11.19,3.49
Tanzania,TZA,1375214286.0,885333.0,27.0,,11.0,38555391219.0,6.52,2.44
Thailand,THA,27967363636.0,19745619.0,13.0,5002381.0,4.0,334247407452.0,1.93,1.15
Timor-Leste,TLS,35638462.0,53893.0,40.0,,6.0,1228526196.0,4.86,3.81
Togo,TGO,119333333.0,239818.0,8.0,228000.0,3.0,5117477650.0,2.44,2.69
Tonga,TON,34706250.0,63048.0,45.0,,11.0,362114209.0,5.47,2.66
Trinidad and Tobago,TTO,573181818.0,474227.0,6.0,271500.0,2.0,20784671194.0,5.07,6.07
Tunisia,TUN,2507636364.0,6316045.0,16.0,2257900.0,3.0,39281924122.0,4.42,14.76
Turkiye,TUR,29166062500.0,28099364.0,15.0,6597455.0,2.0,678087388156.0,21.96,10.51
Turkmenistan,TKM,,,,54750.0,,27108837107.0,,4.0
Turks and Caicos Islands,TCA,281500000.0,1091185.0,,,,815631334.0,,7.84
Tuvalu,TUV,1911111.0,1657.0,33.0,2420.0,19.0,35420604.0,0.5,12.22
Uganda,UGA,731250000.0,830636.0,22.0,324000.0,6.0,23435977297.0,6.05,2.61
Ukraine,UKR,3006909091.0,17638818.0,5.0,21470429.0,7.0,120859641848.0,13.01,8.79
United Arab Emirates,ARE,12463554599.0,19745000.0,,16635833.0,,300812411099.0,2.09,2.65
United Kingdom,GBR,18727090909,30961818.0,,67557318.0,,2600404224454.0,2.4,5.54
United States,USA,160061409091.0,133202876.0,9.0,115018064.0,5.0,16588265920000.0,2.55,5.7
Uruguay,URY,1585428571.0,2647952.0,15.0,1238571.0,7.0,42828091411.0,8.17,9.71
Uzbekistan,UZB,504615385.0,1560571.0,6.0,2314000.0,11.0,49050670474.0,12.17,3.92
Vanuatu,VUT,184227273.0,210482.0,67.0,19127.0,7.0,649794316.0,2.66,4.78
"Venezuela, RB",VEN,750722222.0,731579.0,1.0,1301895.0,7.0,236026092841.0,72.74,8.51
Viet Nam,VNM,5585111111.0,6140455.0,5.0,,2.0,182280339916.0,5.72,1.79
Virgin Islands (U.S.),VIR,1200681818.0,2719091.0,,,,4061380952.0,,
West Bank and Gaza,PSE,230500000.0,332773.0,15.0,,10.0,10645012000.0,2.84,22.0
"Yemen, Rep.",YEM,819142857.0,1071833.0,11.0,,2.0,23894281247.0,10.96,15.07
Zambia,ZMB,,767455.0,,,5.0,17355472042.0,13.87,8.5
Zimbabwe,ZWE,176863636.0,2056364.0,4.0,1506000.0,5.0,16968307802.0,79.61,7.11
